id,title,ios_url,ios_app_store_id,ios_app_name,android_url,android_package,android_app_name,product_type,description,price,brand,item_group_id,link,image_link,additional_image_link,availability,condition,google_product_category
10,Photo Book Square,polagram://products/book26,586420569,LALALAB,polagram://products/book26,com.invaderscorp.polagram,LALALAB,Book,"Instagram may have given up on the square, but we haven't. Quality pages and a hardcover binding come together in that most pleasing of quadrilaterals. Make it your own with custom captions, colours and emojis!",27.9,LALALAB,GROUP10,https://www.lalalab.com/en/products/photobook/square-photobook/details/,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/BOOK/slide_book_03%403x.jpg,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/BOOK/slide_book_01%403x.jpg,in stock,new,Book
11,Photo Book Landscape,polagram://products/booklandscape,586420569,LALALAB,polagram://products/booklandscape,com.invaderscorp.polagram,LALALAB,Book,"A wide-format, hardcover album ideal for showcasing stories in a more cohesive way. Make it yours with custom captions, colours and emojis!",35.9,LALALAB,GROUP11,https://www.lalalab.com/en/products/photobook/photobook-landscape/details/,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/BOOK/slide_book_land_02%403x.jpg,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/BOOK/slide_book_land_03%403x.jpg,in stock,new,Book
20,Frame 30x30,polagram://products/frame,586420569,LALALAB,polagram://products/frame,com.invaderscorp.polagram,LALALAB,Frame,"The display option loved by classy adults everywhere, available in a (chic) black or (shabby-chic) natural frame.",32.9,LALALAB,GROUP20,https://www.lalalab.com/en/products/ename/details/,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_frame_01.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_frame_02.jpg,in stock,new,Frame
21,Classic Canvas,polagram://products/canvas30x30,586420569,LALALAB,polagram://products/canvas30x30,com.invaderscorp.polagram,LALALAB,Canvas,"A single, standout image printed on a square, hand-stretched canvas. Ready to hang upon arrival!",29.9,LALALAB,GROUP21,https://www.lalalab.com/en/products/canvas/classic-canvas/details/,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_canvas_c_01+copie.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_canvas_c_02.jpg,in stock,new,Canvas
22,Mosaic Canvas,polagram://products/canvas50x50,586420569,LALALAB,polagram://products/canvas50x50,com.invaderscorp.polagram,LALALAB,Canvas,All the moments that make you smile in one glorious display. Ready to hang upon arrival!,49.9,LALALAB,GROUP22,https://www.lalalab.com/en/products/canvas/mosaic-canvas/details/,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/DECO%20M/cat_canvasf%403x.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_canvas_m_04.jpg,in stock,new,Canvas
23,Square Metallic Print,polagram://products/alu30x30,586420569,LALALAB,polagram://products/alu30x30,com.invaderscorp.polagram,LALALAB,Alu,"The same, ultra-luminous finish of our Landscape Metallic print, except... well, this one's square.",35.9,LALALAB,GROUP23,https://www.lalalab.com/en/products/aludibond/alu-classic/details/,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_aludibon_01.jpg,https://lalalab-cdn.s3.amazonaws.com/7.%20CRITEO/19_05/DECO/slide_aludibon_02%403x.jpg,in stock,new,Alu
24,Landscape Metallic Print,polagram://products/alu30x40,586420569,LALALAB,polagram://products/alu30x40,com.invaderscorp.polagram,LALALAB,Alu,Give your photos an extra-luminous look with direct printing on Alu-Dibond. Hang it in the backyard if you want: this material is waterproof!,42.9,LALALAB,GROUP24,https://www.lalalab.com/en/products/aludibond/alu-regular/details/,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_aludibon_rec_01.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_aludibon_rec_03.jpg,in stock,new,Alu
25,Postcard,polagram://products/postcard,586420569,LALALAB,polagram://products/postcard,com.invaderscorp.polagram,LALALAB,Postcard,"Never worry about stamps again. Create a postcard, write a message, hit 'confirm', and we'll print and mail it directly to your recipient, almost anywhere in the world!",1.69,LALALAB,GROUP25,https://www.lalalab.com/en/,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/CARD/slide_postcard_01%403x.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_lalabox_04.jpg,in stock,new,Postcard
26,Magnets,polagram://products/magnets,586420569,LALALAB,polagram://products/magnet_square,com.invaderscorp.polagram,LALALAB,Magnet,"Impossible to resist (get it, get it?) Borderless, square-format magnets in a pack of 10.",11.9,LALALAB,GROUP26,https://www.lalalab.com/en/products/magnet/magnet/details/,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/MAGNETS/slide_magnet_square_01%403x.jpg,https://lalalab-cdn.s3.amazonaws.com/7.%20CRITEO/19_05/MAGNETS/slide_magnet_02%403x.jpg,in stock,new,Magnet
27,Greeting Cards,polagram://products/greetingcard,586420569,LALALAB,polagram://products/greetingcard,com.invaderscorp.polagram,LALALAB,Greetingcard,"A set of 8 blank greeting cards, ready to write! Plus white envelopes to keep your messages safe from prying eyes.",11.9,LALALAB,GROUP27,https://www.lalalab.com/en/,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/CARD/slide_greetingscard_01%403x.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_greetingscard_02.jpg,in stock,new,Greetingcard
28,Regular 10x15 Prints,polagram://products/regular10x15 ,586420569,LALALAB,polagram://products/regular10x15 ,com.invaderscorp.polagram,LALALAB,Prints,"The photo format you grew up with. Classic, full-frame 10x15s.",0.25,LALALAB,GROUP28,https://www.lalalab.com/en/products/print/regular-10-x-15-print/details/,https://lalalab-cdn.s3.amazonaws.com/7.%20CRITEO/19_05/PRINTS/slide_regular_10x15_03%403x.jpg,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/PRINT/cat_regular_10x13%403x.jpg,in stock,new,Prints
29,XL Square Calendar,polagram://products/calendar30x30,586420569,LALALAB,polagram://products/calendar30x30,com.invaderscorp.polagram,LALALAB,Calendar,"Our classic calendar... now available in XL! Showcase your photos and take advantage of a bigger size to write down all your meetings, birthdays, family get togethers... This wall calendar will keep you company all the way through 2019!",26.9,LALALAB,GROUP29,https://www.lalalab.com/en/products/calendar/calendar-classic-xl/details/,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_cal_30_01_fr.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_cal_30_02_fr.jpg,in stock,new,Calendar
30,Landscape Calendar,polagram://products/calendar20x30,586420569,LALALAB,polagram://products/calendar20x30,com.invaderscorp.polagram,LALALAB,Calendar,"The calendar, it's THE highlight of the end of the year. Whether it's for yourself or it's a gift, it will keep you company the whole way through 2019. Take pleasure in seeing your most beautiful memories each month and keeping track of important dates in your schedule. Wall calendar 20x30cm, 12 photos.",21.9,LALALAB,GROUP30,https://www.lalalab.com/en/products/calendar/calendar-landscape/details/,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_cal_20x30_01_fr.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_cal_20x30_02_fr.jpg,in stock,new,Calendar
31,Square Calendar,polagram://products/calendar12,586420569,LALALAB,polagram://products/calendar12,com.invaderscorp.polagram,LALALAB,Calendar,"What's better than 12 beautiful memories to get you through a new year? Our 2019 Calendars are perfect for your home and as gifts! Spiral bound, glossy finish on 250g cardstock.",18.9,LALALAB,GROUP31,https://www.lalalab.com/en/products/calendar/calendar-classic/details/,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_cal_20x20_01_fr.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_cal_20x20_02_fr.jpg,in stock,new,Calendar
32,Photostrips,polagram://products/photostrips,586420569,LALALAB,polagram://products/photostrips,com.invaderscorp.polagram,LALALAB,Prints,"Old-school photo booth strips made in the most modern of ways. Comes in a set of five strips, featuring four photos apiece. ",8.9,LALALAB,GROUP32,https://www.lalalab.com/en/products/print,https://i.goopics.net/b1bqpu.jpg,,in stock,new,Prints
33,Mini Book,polagram://products/book14x14soft,586420569,LALALAB,polagram://products/book14x14soft,com.invaderscorp.polagram,LALALAB,Book,"A teeny-tiny booklet of memories perfect for stashing in a purse or stuffing into a stocking. Simple, straightforward, and really rather cute, wouldn't you say?",12.9,LALALAB,GROUP33,https://www.lalalab.com/en/products/photobook/mini-photobook/details/,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_book_14x14_04.jpg,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/BOOK/slide_book_mini_02%403x.jpg,in stock,new,Book
34,Gift Card,polagram://products/giftcard,586420569,LALALAB,polagram://products/giftcard,com.invaderscorp.polagram,LALALAB,Giftcard,Make everyone happy! We will send you the gift card directly by email. You can print it or send it directly to whoever you like.,10,LALALAB,GROUP34,https://www.lalalab.com/en,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_giftcard_01.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_giftcard_01.jpg,in stock,new,Giftcard
35,Mini box,polagram://products/box_minivintage_75,586420569,LALALAB,polagram://products/box_minivintage_75,com.invaderscorp.polagram,LALALAB,Box,"Twinkle, twinkle, little box. __A petite, astro-themed print box made just for Mini-Vintage prints.",12.9,LALALAB,GROUP35,https://www.lalalab.com/en/products/photobox/box-minivintage-75/details,https://i.goopics.net/m7jles.jpg,https://i.goopics.net/g7i3pc.jpg,in stock,new,Box
36,Heart Magnets,polagram://products/magnet_heart,586420569,LALALAB,polagram://products/magnet_heart,com.invaderscorp.polagram,LALALAB,Magnet,"Hopeless romantic, or just got a lot of love to give? A set of eight magnets designed to steal your heart (or someone else's). Sets come in a cute, reusable cotton pouch for convenient storage & gifting!",19.9,LALALAB,GROUP36,https://www.lalalab.com/en/products/magnet,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/MAGNETS/cat_magnets_coeur%403x.jpg,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/MAGNETS/slide_magnet_coeur_04%403x.jpg,in stock,new,Magnet
37,Round Magnets,polagram://products/magnet_round,586420569,LALALAB,polagram://products/magnet_round,com.invaderscorp.polagram,LALALAB,Magnet,"All the magnetic goodness of our original square magnets, minus all the pointy edges. Sets come in a cute, reusable cotton pouch for convenient storage & gifting!",18.9,LALALAB,GROUP37,https://www.lalalab.com/en/products/magnet,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/MAGNETS/slide_magnet_rond_03%403x.jpg,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/MAGNETS/slide_magnet_rond_04%403x.jpg,in stock,new,Magnet
38,Mini Vintage Magnets,polagram://products/magnet_minivintage,586420569,LALALAB,polagram://products/magnet_minivintage,com.invaderscorp.polagram,LALALAB,Magnet,The magnetic version of our much-loved Mini Vintage prints (dreams really do come true!). Shipped in an equally-charming cotton pouch for easy storage & gifting. ,19.9,LALALAB,GROUP38,https://www.lalalab.com/en/products/magnet,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/MAGNETS/cat_magnets_minivintage%403x.jpg,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/MAGNETS/slide_magnet_minivintage_01%403x.jpg,in stock,new,Magnet
39,Classic Box,polagram://products/box_print_classic,586420569,LALALAB,polagram://products/box_print_classic,com.invaderscorp.polagram,LALALAB,Box,"Our beloved Classic Box, sprinkled with stardust for a bit of winter sparkle. _Fill it with 150 of our Regular 10x13 or Original 10x15 prints! ",24.9,LALALAB,GROUP39,https://www.lalalab.com/en/products/photobox/classic-box/details,https://i.goopics.net/dklg98.jpg,https://i.goopics.net/xrrj56.jpg,in stock,new,Box
55,Softcover Square Photobook,polagram://products/book_21x21_soft,586420569,LALALAB,polagram://products/book_21x21_soft,com.invaderscorp.polagram,LALALAB,Book,"You asked for it, so here it is! A softcover, square Photobook big enough to show off the little details. Make it your own with custom captions, colours, and emojis. Good news! you will find the same soft touch cover finish than our cute Mini Book __",19.9,LALALAB,GROUP55,https://www.lalalab.com/en/products/photobook/square-soft-photobook/details,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_book_21x21_soft_02.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_book_21x21_soft_01.jpg,in stock,new,Book
41,Softcover Portrait Photobook,polagram://products/book_21x28_soft,586420569,LALALAB,polagram://products/book_21x28_soft,com.invaderscorp.polagram,LALALAB,Book,"You asked for it, so here it is! A softcover, Portrait Photobook big enough to show off the little details. Make it your own with custom captions, colours, and emojis. Good news! you will find the same soft touch cover finish than our cute Mini Book",24.9,LALALAB,GROUP41,https://lalalab.com/en/produits/photobook,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_book_A4_06.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_book_A4_01.jpg,in stock,new,Book
42,Poster Text,polagram://products/poster_text,586420569,LALALAB,polagram://products/poster_text,com.invaderscorp.polagram,LALALAB,Poster,"A picture's worth a thousand words, but sometimes, words are all you need. An inspiring reminder, your favourite song lyric, a killer film quote... Express yourself with a personalised text poster, complete with custom fonts, layouts, and colours! ",18.9,LALALAB,GROUP42,https://www.lalalab.com/en/products/walldeco,https://i.goopics.net/wj2d3a.jpg,https://i.goopics.net/m1pv52.jpg,in stock,new,Poster
44,Desk Calendar,polagram://products/calendar_desk,586420570,LALALAB,polagram://products/calendar_desk,com.invaderscorp.polagram,LALALAB,Calendar,"Bring warmth to your workspace. Introducing a more compact 12-month calendar that stands up on its own: perfect for popping onto a desk (classic), kitchen counter (clever), or even bookshelf (creative).",17.9,LALALAB,GROUP44,https://www.lalalab.com/en/products/home_calendar/calendar_desk/details,https://i.goopics.net/89cu5j.png,,in stock,new,Calendar
45,Mini Book,polagram://products/book14x14soft,586420569,LALALAB,polagram://products/book,com.invaderscorp.polagram,LALALAB,Book,"There's big magic to be found in the smallest moments... And this limited-edition winter Mini Book is here to remind you to look for them, always.",12.9,LALALAB,GROUP45,https://www.lalalab.com/en/products/Home_book_web,https://i.goopics.net/l2gj8s.jpg,https://i.goopics.net/r10egn.jpg,in stock,new,Book
46,Photo Book Square,polagram://products/book_21x21_hard_pattern,586420569,LALALAB,polagram://products/book_21x21_hard_pattern,com.invaderscorp.polagram,LALALAB,Book,"A hardcover-bound, holiday-edition Photobook made for filling with a constellation of magical moments—and a good reminder that ""those who don't believe in magic will never find it...""",27.9,LALALAB,GROUP46,https://www.lalalab.com/en/products/Home_book_web,https://i.goopics.net/9q96t6.jpg,https://i.goopics.net/79x3g5.jpg,in stock,new,Book
